,Unique stations,MP Count
0,Abbenbroek,2
1,Achterdrempt,2
2,Alkmaar,4
3,Angerlo,10
4,Apeldoorn,2
5,Assumburg,9
6,Axel,3
7,Baal,3
8,Belfeld,4
9,Bemelen,5
10,Best,8
11,Beverwijk,2
12,Birstum,3
13,Bleisijk,0
14,Bleiswijk,3
15,Bornerbroek,6
16,Boxtel,6
17,Den Kaat,6
18,Driehuis,4
19,Eext,4
20,Emmeloord,4
21,Enschede,2
22,Esveld,4
23,Ewijk,8
24,Gilze,3
25,Gravenpolder,3
26,Groenlo,6
27,Gronsveld,1
28,Haren,5
29,Heerhugowaard,3
30,Hengelo,4
31,Hilversum,7
32,Hoofddorp,9
33,Hoogezand,1
34,Ijsselmonde,9
35,Krimpenerwaard,2
36,Lambertschaag,9
37,Leusden-Zuid,9
38,Lingewaal,1
39,Lurkeers,5
40,Melick,1
41,Middelrode,2
42,Mierlo,7
43,Mill,5
44,Moergestel,4
45,Nederweert,7
46,Nijkerk,8
47,Nijland,7
48,Odijk,5
49,Ommeloop,3
50,Oosteind,5
51,Oostum,6
52,Opsterland,6
53,Oss,1
54,Ossendrecht,3
55,Oudverlaat,2
56,Reek,5
57,Reijerscop,9
58,Rijnsburg,5
59,Rijsbergen,3
60,Rijswijk,3
61,Sanderbout,4
62,Scheemda,10
63,Scheemda,10
64,Schinnen,8
65,Schuilenburg,7
66,Simpelveld,1
67,Sloten,4
68,t Woudt,2
69,Tiel,1
70,Valburg,4
71,Venray,5
72,Visvliet,4
73,Vlaardingen,4
74,Vondelingenplaat,2
75,Voorburg,2
76,Weesp,2
77,Westerbork,3
78,Wezep,8
79,Wijngaarden,11
80,Zaltbommel,8
81,Zegge,6
82,Zoeterwoude,7
83,Zuid-Kraayert,4
84,Zuideropgaande,3
